,WarNum,WarName,WarType,Ccode,Player,Side,Intnl,Unnamed: 7,StartMonth,StartDay,StartYear,EndMonth,EndDay,EndYear,Intiator,WhereFought,Outcome,Death,stateabb,ccode,year,milex,milper,irst,pec,tpop,upop,cinc,version,exact_match,war_sum_milex,war_sum_milper,war_sum_irst,war_sum_pec,war_milex_pct,war_milper_pct,war_irst_pct,war_pect_pct
23038,79,Spanish-American,1,230,Spain,2,,,4,22,1898,8,12,1898,0,13,2,775,SPN,230,1898,5939,153,262,3938,18400,1606,0.0170124,2011,TRUE,65950,389,12225,211209,0.090053071,0.393316195,0.021431493,0.018645039
23246,94,Second Spanish-Moroccan,1,230,Spain,1,,,7,7,1909,3,23,1910,1,6,1,2000,SPN,230,1909,9241,111,254,6498,19660,1815,0.0145169,2011,TRUE,9232,117,254,6498,1.00097487,0.948717949,1,1
23447,436,Moroccan Berber,2,230,Spain,1,,,6,-9,1913,12,-9,1914,0,6,7,-9,SPN,230,1913,13988,145,242,7400,20200,1909,0.0148119,2011,TRUE,80694,777,4929,72244,0.173346222,0.186615187,0.04909718,0.102430652
23652,449,Rif Rebellion,2,230,Spain,1,,,6,1,1921,5,27,1926,1,6,1,50000,SPN,230,1921,155968,207,306,6586,21300,2567,0.0162282,2011,TRUE,480729,682,7770,83715,0.324440589,0.303519062,0.039382239,0.078671684
23862,717,Spanish Miners,5,230,Spain,1,0,,10,4,1934,10,8,1934,,2,1,284,SPN,230,1934,82534,138,647,8868,24350,3861,0.0135366,2011,TRUE,82534,138,647,8868,1,1,1,1
24061,718,Spanish Civil War,4,230,Spain,1,1,,7,18,1936,3,29,1939,,2,2,286000,SPN,230,1936,129919,475,373,3794,24810,4111,0.0183123,2011,TRUE,3630841,1450,21606,208223,0.035782068,0.327586207,0.017263723,0.01822085
24279,158,IfniWar,1,230,Spain,1,,,11,21,1957,4,10,1958,0,6,1,122,SPN,230,1957,139692,451,1346,20886,29693,7488,0.0107244,2011,TRUE,3806835,1436,15962,132609,0.03669505,0.314066852,0.084325273,0.157500622
24523,482,Iraqi Resistance,3,230,Spain,1,,,3,-9,2004,4,28,2004,0,6,5,11,SPN,230,2004,12589000,149,17621,202574,42710,14542,0.010426,2011,TRUE,122244991,1343,123216,1684417,0.102981725,0.110945644,0.143009025,0.120263569
24534,500,First Caucasus,5,365,Russia,1,0,,6,10,1818,-9,-9,1822,,2,1,5000,RUS,365,1818,8833,600,127,14,47200,263,0.1542128,2011,TRUE,8833,600,127,14,1,1,1,1
24739,316,Russo-Persian,3,365,Russia,1,,,9,28,1826,2,28,1828,0,6,1,5000,RUS,365,1826,7376,578,157,27,53000,722,0.1500554,2011,TRUE,7376,578,157,27,1,1,1,1
24937,506,Greek Independence,5,365,Russia,2,1,,10,20,1827,4,25,1828,,2,4,60,RUS,365,1827,7880,675,184,26,53800,820,0.1593984,2011,TRUE,28835,1067,1090,30536,0.273279001,0.632614808,0.168807339,0.000851454
25135,4,First Russo-Turkish,1,365,Russia,1,,,4,26,1828,9,14,1829,1,11,1,50000,RUS,365,1828,7587,624,178,26,54600,833,0.1525648,2011,TRUE,7587,624,178,26,1,1,1,1
25334,511,First Murid War,5,365,Russia,1,0,,-9,-9,1830,10,17,1832,,2,1,1000,RUS,365,1830,7780,826,187,26,56100,861,0.1572525,2011,TRUE,7780,826,187,26,1,1,1,1
25532,517,First Polish,5,365,Russia,1,0,,2,7,1831,10,18,1831,,2,1,15000,RUS,365,1831,8058,851,194,25,56900,875,0.1500458,2011,TRUE,8058,851,194,25,1,1,1,1
25732,523,Second Murid,5,365,Russia,1,0,,9,26,1834,10,27,1834,,2,7,-9,RUS,365,1834,8648,784,167,25,59300,920,0.1539878,2011,TRUE,8648,784,167,25,1,1,1,1
25931,530,Third Murid,5,365,Russia,1,0,,7,-9,1836,-9,-9,1852,,2,1,15000,RUS,365,1836,9833,1020,181,37,60600,951,0.1657433,2011,TRUE,9833,1020,181,37,1,1,1,1
26138,332,Cracow Revolt,3,365,Russia,1,,,2,-9,1846,3,3,1846,0,2,1,-9,RUS,365,1846,13957,677,215,99,65800,1022,0.128714,2011,TRUE,13957,677,215,99,1,1,1,1
26338,554,Hungarian,5,365,Russia,1,1,,7,16,1849,8,13,1849,,2,1,14500,RUS,365,1849,17790,699,190,107,67800,1041,0.1306852,2011,TRUE,17790,699,190,107,1,1,1,1
26539,22,Crimean,1,365,Russia,2,,,10,23,1853,3,1,1856,0,2,2,100000,RUS,365,1853,19928,761,238,142,70100,1069,0.1354154,2011,TRUE,128845,1648,4148,81998,0.15466646,0.461771845,0.057377049,0.00173175
26746,580,Second Polish,5,365,Russia,1,0,,1,22,1863,4,19,1864,,2,1,10000,RUS,365,1863,26385,812,279,400,74300,1193,0.073884,2011,TRUE,26385,812,279,400,1,1,1,1
26944,359,Russian-Kokand,3,365,Russia,1,,,4,24,1864,6,17,1865,1,7,1,120,RUS,365,1864,25359,1135,300,400,74700,1209,0.0784004,2011,TRUE,25359,1135,300,400,1,1,1,1
27143,361,Russian-Bukharan,3,365,Russia,1,,,1,12,1866,10,18,1866,1,7,1,100,RUS,365,1866,19252,697,305,1050,76500,1242,0.078528,2011,TRUE,19252,697,305,1050,1,1,1,1
27345,582,Xinjiang Muslim Revolt,5,365,Russia,1,1,,6,24,1871,7,3,1871,,7,2,-9,RUS,365,1871,22409,765,359,2038,85400,1843,0.0803042,2011,TRUE,22400,1765,369,2038,1.000401786,0.433427762,0.972899729,1
27546,371,Kokand Rebellion,3,365,Russia,1,,,8,9,1875,2,28,1876,0,7,1,100,RUS,365,1875,26943,835,428,2741,90200,2394,0.09965,2011,TRUE,26943,835,428,2741,1,1,1,1
27745,61,Second Russo-Turkish,1,365,Russia,1,,,4,24,1877,1,31,1878,1,11,1,120000,RUS,365,1877,77022,840,400,3281,92200,2655,0.1318926,2011,TRUE,77013,1301,410,3367,1.000116863,0.645657187,0.975609756,0.974457974
27943,376,Russo-Turkoman,3,365,Russia,1,,,5,-9,1878,1,24,1881,1,7,1,2000,RUS,365,1878,59952,1213,418,4321,93000,2796,0.1307014,2011,TRUE,59952,1213,418,4321,1,1,1,1
28147,390,Russo-Afghan,3,365,Russia,1,,,3,30,1885,4,-9,1885,1,7,3,1000,RUS,365,1885,25140,803,528,5870,108800,3750,0.0940839,2011,TRUE,25140,803,528,5870,1,1,1,1
28359,82,Boxer Rebellion,1,365,Russia,1,,,6,17,1900,8,14,1900,1,7,1,302,RUS,365,1900,43104,1142,2216,33930,132900,6666,0.1092385,2011,TRUE,270293,3558,19114,532556,0.159471388,0.320966835,0.115935963,0.06371161
28556,83,Sino-Russian,1,365,Russia,1,,,7,17,1900,10,10,1900,1,7,1,242,RUS,365,1900,43104,1142,2216,33930,132900,6666,0.1092385,2011,TRUE,55345,2142,2216,34163,0.778823742,0.533146592,1,0.993179756
28757,85,Russo-Japanese,1,365,Russia,2,,,2,8,1904,9,15,1905,0,7,2,71453,RUS,365,1904,50305,1160,2766,37584,141600,8064,0.113226,2011,TRUE,117578,1378,2826,49587,0.427843644,0.84179971,0.978768577,0.757940589
28955,643,Bloody Sunday,4,365,Russia,1,0,,1,22,1905,1,1,1906,,2,1,1500,RUS,365,1905,170006,2365,2266,33355,143900,8457,0.1631346,2011,TRUE,170006,2365,2266,33355,1,1,1,1
29156,647,Iranian Constitution War,4,365,Russia,1,1,,4,30,1909,7,17,1909,,6,2,100,RUS,365,1909,60029,1434,2940,46030,157100,10230,0.1190183,2011,TRUE,65069,1464,2940,46044,0.922543761,0.979508197,1,0.999695943
29358,106,World War I,1,365,Russia,1,,,8,1,1914,12,5,1917,0,11,1,1700000,RUS,365,1914,857000,1321,4466,48412,175100,10479,0.1108046,2011,TRUE,7553077,9278,79683,1292901,0.113463692,0.142379823,0.056047087,0.037444476
29557,676,Russia-Turkestan,5,365,Russia,1,0,,7,4,1916,2,27,1917,,2,1,350,RUS,365,1916,4343000,10900,4276,48692,181500,7548,0.1450809,2011,TRUE,4343000,10900,4276,48692,1,1,1,1
29756,107,Estonian Liberation,1,365,Russia,2,,,11,22,1918,1,3,1920,1,2,2,8000,RUS,365,1918,258741,-9,402,18041,143450,4983,0.0373969,2011,TRUE,262273,-2,402,19771,0.986533116,0,1,0.912498103
29953,108,Latvian Liberation,1,365,Russia,2,,,12,2,1918,2,1,1920,1,2,2,8000,RUS,365,1918,258741,-9,402,18041,143450,4983,0.0373969,2011,TRUE,9126167,8140,22341,358646,0.028351552,-0.001105651,0.017993823,0.050303084
30151,109,Russo-Polish,1,365,Russia,2,,,2,14,1919,10,18,1920,1,2,2,60000,RUS,365,1919,1417699,1550,199,14673,142265,3566,0.0630602,2011,TRUE,1417690,1850,714,46527,1.000006348,0.837837838,0.278711485,0.315365272
30408,812,First Afghan Mujahideen Uprising,4,365,Russia,1,1,,3,15,1979,2,21,1980,,7,4,2000,RUS,365,1979,180000000,3900,149000,1801221,263404,98267,0.1673254,2011,TRUE,180059400,4010,149000,1801977,0.999670109,0.972568579,1,0.999580461
30619,876,Tajikistan,4,365,Russia,1,1,,3,-9,1993,6,27,1997,,7,3,-9,RUS,365,1993,29120000,1500,54000,1249676,148146,67957,0.0580243,2011,TRUE,29120000,1500,54000,1249676,1,1,1,1
30817,888,First Chechnya,5,365,Russia,1,0,,12,11,1994,8,31,1996,,2,2,4000,RUS,365,1994,96693000,1400,48812,1114603,147968,66648,0.0670384,2011,TRUE,96693000,1400,48812,1114603,1,1,1,1
31019,915,Second Chechen,5,365,Russia,1,0,,8,7,1999,10,3,2003,,2,1,5000,RUS,365,1999,56800000,900,51510,1034481,147196,66234,0.051515,2011,TRUE,56800000,900,51510,1034481,1,1,1,1
31037,502,First Two Sicilies,4,329,Two Sicilies,1,1,,7,2,1820,3,23,1821,,2,1,-9,SIC,329,1820,-9,42,0,-9,6892,479,0.0307145,2011,TRUE,-9,42,0,-9,0,1,0,0
31111,547,Second Two Sicilies,4,329,Two Sicilies,1,0,,1,12,1848,1,27,1848,,2,1,1500,SIC,329,1848,-9,49,0,-9,8714,590,0.0223923,2011,TRUE,-9,49,0,-9,0,1,0,0
31158,16,Roman Republic,1,329,Two Sicilies,1,,,5,8,1849,7,2,1849,0,2,1,100,SIC,329,1849,-9,46,0,-9,8793,595,0.0215962,2011,TRUE,19321,524,414,6338,-0.000465814,0.08778626,0,-0.001420006
31215,37,Neapolitan,1,329,Two Sicilies,2,,,10,15,1860,2,13,1861,0,2,2,400,SIC,329,1860,-9,92,0,-9,9212,645,0.0156053,2011,TRUE,-9,92,0,-9,0,1,0,0
31261,352,Garibaldi Expedition,3,329,Two Sicilies,1,,,5,11,1860,10,14,1860,0,2,4,4500,SIC,329,1860,-9,92,0,-9,9212,645,0.0156053,2011,TRUE,-9,92,0,-9,0,1,0,0
32128,1,Franco-Spanish War,1,220,France,1,,,4,7,1823,11,13,1823,1,2,1,400,FRN,220,1823,13569,256,190,1325,30940,944,0.1463445,2011,TRUE,13560,370,200,1325,1.000663717,0.691891892,0.95,1
32328,506,Greek Independence,5,220,France,2,1,,10,20,1827,10,27,1827,,2,4,40,FRN,220,1827,10014,237,216,2237,31800,996,0.1347034,2011,TRUE,28835,1067,1090,30536,0.347286284,0.222118088,0.198165138,0.073257794
32527,319,French Occupation of Algiers,3,220,France,1,,,6,12,1830,7,5,1830,1,6,1,600,FRN,220,1830,12618,259,266,2531,32370,1037,0.1401243,2011,TRUE,12618,259,266,2531,1,1,1,1
32723,513,First French Insurrection,4,220,France,1,0,,7,25,1830,7,29,1830,,2,2,400,FRN,220,1830,12618,259,266,2531,32370,1037,0.1401243,2011,TRUE,12618,259,266,2531,1,1,1,1
32924,522,First Carlist War,4,220,France,1,1,,10,31,1835,1,17,1839,,2,1,7700,FRN,220,1835,11823,289,295,3282,33260,1163,0.1364132,2011,TRUE,21376,589,1245,37743,0.553096931,0.490662139,0.236947791,0.086956522
33124,324,First Franco-Algerian,3,220,France,1,,,11,1,1839,12,23,1847,0,6,1,15000,FRN,220,1839,12691,300,350,4186,33940,1287,0.1328695,2011,TRUE,12691,300,350,4186,1,1,1,1
33325,330,Franco-Moroccan,3,220,France,1,,,8,6,1844,9,10,1844,1,6,1,200,FRN,220,1844,17746,361,427,5504,34900,1460,0.1435148,2011,TRUE,17746,361,427,5504,1,1,1,1
33522,327,Uruguay War,3,220,France,2,,,1,-9,1845,5,24,1849,0,1,4,600,FRN,220,1845,17839,357,439,6341,35160,1497,0.1414417,2011,TRUE,29947,526,2639,54981,0.595685711,0.678707224,0.16635089,0.115330751
33721,552,Second French Insurrection,4,220,France,1,0,,6,23,1848,6,26,1848,,2,1,1200,FRN,220,1848,22227,387,472,6095,35520,1583,0.1356841,2011,TRUE,22227,387,472,6095,1,1,1,1
33918,16,Roman Republic,1,220,France,1,,,4,30,1849,7,2,1849,1,2,1,1000,FRN,220,1849,19339,465,414,6356,35550,1607,0.1321712,2011,TRUE,19321,524,414,6338,1.000931629,0.88740458,1,1.002840013
34119,22,Crimean,1,220,France,1,,,3,31,1854,3,1,1856,0,2,1,95000,FRN,220,1854,30356,440,771,10830,36230,1959,0.1253639,2011,TRUE,128845,1648,4148,81998,0.235600916,0.266990291,0.18587271,0.132076392
34315,340,French-Tukulor War,3,220,France,1,,,-9,-9,1854,7,15,1857,0,4,6,100,FRN,220,1854,30356,440,771,10830,36230,1959,0.1253639,2011,TRUE,30356,440,771,10830,1,1,1,1
34513,343,Second Opium,3,220,France,1,,,10,22,1856,10,24,1860,1,7,1,100,FRN,220,1856,36391,645,923,12870,36190,2192,0.1404021,2011,TRUE,68760,1027,4567,86142,0.529246655,0.628042843,0.202102036,0.149404472
34709,345,French Conquest of Kabylia,2,220,France,1,,,5,17,1856,12,-9,1857,1,4,1,1000,FRN,220,1856,36391,645,923,12870,36190,2192,0.1404021,2011,TRUE,36391,645,923,12870,1,1,1,1
34907,349,First Franco-Vietnamese,3,220,France,1,,,8,31,1858,6,5,1862,1,7,1,1500,FRN,220,1858,19967,427,872,12941,36340,2451,0.1314255,2011,TRUE,19967,427,872,12941,1,1,1,1
35104,28,Italian Unification,1,220,France,1,,,5,3,1859,7,12,1859,0,2,1,7500,FRN,220,1859,32307,465,864,13081,36500,2592,0.1387151,2011,TRUE,32307,465,864,13081,1,1,1,1
35303,40,Franco-Mexican,1,220,France,2,,,4,16,1862,2,5,1867,1,1,4,8000,FRN,220,1862,26762,520,1091,16258,37520,2946,0.1061196,2011,TRUE,26753,547,1091,16322,1.000336411,0.950639854,1,0.996078912
35500,356,Shimonoseki War,3,220,France,1,,,6,25,1863,9,7,1864,0,7,1,6,FRN,220,1863,27082,493,1157,16505,37710,2992,0.1023744,2011,TRUE,50777,822,6002,108240,0.533351714,0.599756691,0.192769077,0.152485218
35703,58,Franco-Prussian,1,220,France,2,,,7,19,1870,2,26,1871,1,2,2,152000,FRN,220,1870,59066,452,1178,18950,38440,3342,0.1273982,2011,TRUE,104536,790,2489,48034,0.565030229,0.572151899,0.473282443,0.394512221
35900,366,Second Franco-Algerian,2,220,France,1,,,3,-9,1871,1,-9,1872,0,6,1,2686,FRN,220,1871,54323,1000,860,18921,36190,3395,0.1373235,2011,TRUE,54323,1000,860,18921,1,1,1,1
36096,596,Paris Commune,4,220,France,1,0,,4,2,1871,5,29,1871,,2,1,879,FRN,220,1871,54323,1000,860,18921,36190,3395,0.1373235,2011,TRUE,54323,1000,860,18921,1,1,1,1
36294,369,Second Franco-Vietnamese,3,220,France,1,,,11,20,1873,-9,-9,1874,1,7,3,400,FRN,220,1873,24975,534,1382,24834,36340,3369,0.1059417,2011,TRUE,24975,534,1382,24834,1,1,1,1
36498,383,Franco-Tunisian,3,220,France,1,,,6,-9,1881,4,4,1882,0,6,1,3500,FRN,220,1881,36993,578,1886,29421,37590,3829,0.1105362,2011,TRUE,36984,583,1886,29421,1.000243348,0.991423671,1,1
36695,385,Third Franco-Vietnamese,3,220,France,1,,,4,25,1882,6,14,1884,1,7,4,4500,FRN,220,1882,39695,588,2039,31011,37730,3891,0.1116411,2011,TRUE,39686,1588,2059,31086,1.00022678,0.370277078,0.990286547,0.997587338
36892,386,First Franco-Madagascan,3,220,France,1,,,5,7,1883,12,12,1885,1,4,1,300,FRN,220,1883,38423,516,2069,32497,37860,3937,0.110877,2011,TRUE,38423,516,2069,32497,1,1,1,1
37089,67,Sino-French,1,220,France,1,,,6,15,1884,6,9,1885,1,7,1,2100,FRN,220,1884,35795,526,1872,31178,38010,3981,0.1045231,2011,TRUE,35786,1526,1892,31304,1.000251495,0.344692005,0.989429175,0.995974955
37286,389,French-Mandinka,3,220,France,1,,,-9,-9,1885,-9,-9,1886,1,4,1,1000,FRN,220,1885,35721,519,1631,29911,38110,4018,0.1010312,2011,TRUE,35721,519,1631,29911,1,1,1,1
37487,394,First Franco-Dahomeyan,3,220,France,1,,,3,1,1890,4,20,1890,1,4,1,200,FRN,220,1890,36771,596,1962,36762,38380,4489,0.0953017,2011,TRUE,36771,596,1962,36762,1,1,1,1
37683,395,Franco-Jolof,3,220,France,1,,,4,-9,1890,2,24,1891,1,4,1,100,FRN,220,1890,36771,596,1962,36762,38380,4489,0.0953017,2011,TRUE,36771,596,1962,36762,1,1,1,1
37881,396,Second Franco-Dahomeyan,3,220,France,1,,,9,19,1892,11,9,1893,1,4,1,80,FRN,220,1892,36900,606,2057,36861,38360,3829,0.0938241,2011,TRUE,36900,606,2057,36861,1,1,1,1
38079,401,Second Franco-Madagascan,3,220,France,1,,,6,16,1894,10,1,1895,0,4,1,6000,FRN,220,1894,36617,590,2070,38243,38420,4704,0.0931334,2011,TRUE,36617,590,2070,38243,1,1,1,1
38280,415,French Conquest of Chad,3,220,France,1,,,7,17,1899,4,22,1900,1,4,1,125,FRN,220,1899,38813,654,2578,45244,38890,5119,0.0817033,2011,TRUE,38813,654,2578,45244,1,1,1,1
38477,82,Boxer Rebellion,1,220,France,1,,,6,17,1900,8,14,1900,1,7,1,24,FRN,220,1900,40569,621,1565,48650,38940,5233,0.0747144,2011,TRUE,270293,3558,19114,532556,0.150092677,0.174536256,0.081877158,0.091351895
38680,431,Anti-Foreign Revolt,3,220,France,1,,,7,30,1907,-9,-9,1910,1,4,1,150,FRN,220,1907,44152,619,2767,55089,39270,5531,0.0703592,2011,TRUE,44152,619,2767,55089,1,1,1,1
38876,646,Overthrow of Abd el-Aziz,4,220,France,1,1,,8,7,1907,6,15,1908,,6,2,200,FRN,220,1907,44152,619,2767,55089,39270,5531,0.0703592,2011,TRUE,44143,625,2767,55089,1.000203883,0.9904,1,1
39074,433,French Conquest of Wadai,3,220,France,1,,,5,-9,1909,-9,-9,1911,1,4,1,4000,FRN,220,1909,47412,641,3039,56672,39430,5654,0.0700607,2011,TRUE,47412,641,3039,56672,1,1,1,1
39273,434,French-Berber,2,220,France,1,,,3,31,1912,9,6,1912,0,6,1,200,FRN,220,1912,61367,642,4429,60034,39670,5843,0.0721933,2011,TRUE,61367,642,4429,60034,1,1,1,1
39470,436,Moroccan Berber,2,220,France,1,,,3,26,1913,5,16,1915,1,6,7,900,FRN,220,1913,66706,632,4687,64844,39770,5908,0.0680437,2011,TRUE,80694,777,4929,72244,0.826653778,0.813384813,0.95090282,0.897569348
39667,106,World War I,1,220,France,1,,,8,3,1914,11,11,1918,0,14,1,1385000,FRN,220,1914,1235000,789,2802,45084,33220,5906,0.0747482,2011,TRUE,7553077,9278,79683,1292901,0.163509521,0.085039879,0.035164339,0.034870419
39867,677,Russian Civil War,4,220,France,2,1,,6,23,1918,9,30,1919,,2,2,50,FRN,220,1918,7708000,5277,1800,41616,32830,5893,0.0884113,2011,TRUE,23132848,13094,57481,1022283,0.333205838,0.403009012,0.031314695,0.040708884
40064,116,Franco-Turkish,1,220,France,1,,,11,1,1919,10,20,1921,1,6,3,5000,FRN,220,1919,634729,2364,1293,44334,31970,5889,0.0612985,2011,TRUE,668257,2493,1293,44895,0.949827686,0.948255114,1,0.987504176
40261,444,Franco-Syrian,3,220,France,1,,,3,-9,1920,8,7,1920,1,6,1,3500,FRN,220,1920,361910,1457,2706,58353,39000,5940,0.0581747,2011,TRUE,361910,1457,2706,58353,1,1,1,1
40462,449,Rif Rebellion,2,220,France,1,,,4,12,1925,5,27,1926,0,6,1,10000,FRN,220,1925,324761,475,7464,77129,40610,6202,0.0601707,2011,TRUE,480729,682,7770,83715,0.675559411,0.696480938,0.960617761,0.921328316
40658,451,Franco-Druze,2,220,France,1,,,7,18,1925,5,27,1927,0,6,1,4000,FRN,220,1925,324761,475,7464,77129,40610,6202,0.0601707,2011,TRUE,324761,475,7464,77129,1,1,1,1
40859,452,Yen Bai Uprising,2,220,France,1,,,2,9,1930,-9,-9,1931,0,7,1,1,FRN,220,1930,498642,411,9444,96188,41610,6444,0.0611266,2011,TRUE,498642,411,9444,96188,1,1,1,1
41064,139,World War II,1,220,France,1,,,9,3,1939,8,14,1945,0,2,1,210824,FRN,220,1939,1023651,581,7950,79602,41900,6397,0.0395961,2011,TRUE,39435138,21672,142953,1972270,0.02595784,0.026808786,0.055612684,0.0403606
41261,139,World War II,1,220,France,2,,,7,7,1940,7,14,1941,0,2,2,2500,FRN,220,1940,5707762,5000,4413,56951,41000,6422,0.0758349,2011,TRUE,39435138,21672,142953,1972270,0.144737975,0.23071244,0.030870286,0.028875864
41457,145,Franco-Thai,1,220,France,2,,,12,1,1940,1,28,1941,0,7,2,700,FRN,220,1940,5707762,5000,4413,56951,41000,6422,0.0758349,2011,TRUE,5718276,4991,4413,56955,0.998161334,1.001803246,1,0.999929769
41658,457,French-Indochina,2,220,France,1,,,11,20,1946,6,1,1954,0,7,2,94500,FRN,220,1946,1257334,578,4408,70062,40280,6593,0.0313083,2011,TRUE,1257334,578,4408,70062,1,1,1,1
41855,459,Third Franco-Madagascan,2,220,France,1,,,3,29,1947,12,1,1948,0,4,1,1000,FRN,220,1947,1844090,580,5733,76580,40640,6666,0.0349788,2011,TRUE,1844090,580,5733,76580,1,1,1,1
42055,151,Korean,1,220,France,1,,,1,1,1951,7,27,1953,0,7,6,288,FRN,220,1951,2199999,620,9835,93400,42056,6969,0.0329915,2011,TRUE,23376515,8330,124959,1700195,0.094111505,0.074429772,0.078705816,0.054934875
42252,463,Franco-Tunisian,2,220,France,1,,,1,18,1952,7,31,1954,0,6,2,2000,FRN,220,1952,3018000,655,10867,95592,42360,7046,0.033362,2011,TRUE,3018000,655,10867,95592,1,1,1,1
42449,465,Moroccan Independence,2,220,France,1,,,8,20,1953,3,12,1956,0,6,2,2000,FRN,220,1953,3490000,699,9997,92209,42652,7125,0.0317597,2011,TRUE,3490000,699,9997,92209,1,1,1,1
42646,466,Third Franco-Algerian,2,220,France,1,,,11,1,1954,3,17,1962,0,6,2,18000,FRN,220,1954,3428000,745,10627,95660,43057,7234,0.0329684,2011,TRUE,3428000,745,10627,95660,1,1,1,1
42844,155,Sinai War,1,220,France,1,,,10,31,1956,11,6,1956,0,6,1,10,FRN,220,1956,3653000,856,13398,110168,43843,7485,0.0325624,2011,TRUE,8471794,1785,34406,347837,0.431195565,0.479551821,0.389408824,0.316723063
43041,467,French-Cameroon,2,220,France,1,,,1,1,1957,1,5,1958,0,4,1,1000,FRN,220,1957,3692000,913,14096,109639,44311,7629,0.0327303,2011,TRUE,3692000,913,14096,109639,1,1,1,1
43238,158,IfniWar,1,220,France,1,,,2,10,1958,4,10,1958,0,6,1,0,FRN,220,1958,3620000,961,14616,111257,44789,7775,0.0337533,2011,TRUE,3806835,1436,15962,132609,0.950921172,0.669220056,0.915674727,0.838985288
43444,771,First Chad (FROLINAT) Rebellion,5,220,France,1,1,,8,-9,1968,6,16,1971,,4,1,50,FRN,220,1968,5896937,570,20410,195043,49914,9271,0.0249547,2011,TRUE,5902714,575,20410,195046,0.999021298,0.991304348,1,0.999984619
43650,811,Fourth DRC (Shaba),4,220,France,1,1,,5,18,1978,6,6,1978,,4,1,5,FRN,220,1978,18874092,581,22841,278029,53376,10008,0.0237038,2011,TRUE,22040801,690,35465,361000,0.85632514,0.842028986,0.644043423,0.770163435
43851,820,Second Chad (Habre Revolt),5,220,France,2,1,,8,9,1983,9,-9,1984,,4,1,200,FRN,220,1983,21654890,578,17582,215199,54728,9004,0.0192259,2011,TRUE,24466921,634,17582,228652,0.885068048,0.911671924,1,0.941163865
44047,833,Fourth Lebanese Civil,4,220,France,1,1,,4,18,1983,2,29,1984,,6,2,95,FRN,220,1983,21654890,578,17582,215199,54728,9004,0.0192259,2011,TRUE,22052890,598,17582,216417,0.981952479,0.966555184,1,0.994371976
44251,211,Gulf War,1,220,France,1,,,1,16,1991,4,11,1991,0,6,1,2,FRN,220,1991,37340000,554,18432,249514,57055,9920,0.0215695,2011,TRUE,442916070,6255,157888,4430839,0.084304911,0.088569145,0.116740981,0.056313037
44448,870,Second Somalia,4,220,France,1,1,,12,13,1992,3,1,1995,,4,3,2,FRN,220,1992,34870000,542,18024,242844,57374,9986,0.0216589,2011,TRUE,352628891,3664,134885,3575690,0.098885828,0.147925764,0.13362494,0.067915283
44651,221,War for Kosovo,1,220,France,1,,,3,24,1999,6,10,1999,1,2,1,0,FRN,220,1999,37811000,421,20200,263142,58886,10402,0.0208915,2011,TRUE,437736000,3799,221483,4819375,0.086378548,0.110818636,0.091203388,0.054600856
44849,225,Invasion of Afghanistan,1,220,France,1,,,10,21,2001,12,22,2001,0,7,4,0,FRN,220,2001,32909000,274,19343,272497,59454,10780,0.018026,2011,TRUE,404730000,1952,145299,4358395,0.081310997,0.140368852,0.133125486,0.062522328
45045,481,Afghan Resistance,3,220,France,1,,,12,23,2001,12,31,2007,1,7,5,12,FRN,220,2001,32909000,274,19343,272497,59454,10780,0.018026,2011,TRUE,109267000,892,99998,1654837,0.301179679,0.307174888,0.193433869,0.164666973
45242,925,Cote d'Ivoire Military,4,220,France,1,1,,12,11,2002,11,16,2004,,4,2,9,FRN,220,2002,36492000,260,20258,264703,60048,21473,0.0194958,2011,TRUE,36492000,260,20258,264703,1,1,1,1
45787,364,Attack on Bahr el-Ghazal,3,651,Egypt,1,,,-9,-9,1869,-9,-9,1870,1,6,2,-9,EGY,651,1869,2103,19,0,0,6286,531,0.0078624,2011,TRUE,2103,19,0,0,1,1,0,0
45897,372,Egyptian-Ethiopian,3,651,Egypt,1,,,9,-9,1875,3,9,1876,1,4,2,4250,EGY,651,1875,35,26,0,0,6961,560,0.0053,2011,TRUE,35,26,0,0,1,1,0,0
46004,375,Egypt-Sudanese Slavers,3,651,Egypt,1,,,2,-9,1878,7,-9,1879,1,6,1,-9,EGY,651,1878,-9,21,0,0,7325,570,0.0056925,2011,TRUE,-9,21,0,0,0,1,0,0
46111,384,First British-Mahdi,2,651,Egypt,1,,,8,-9,1881,9,15,1882,0,6,2,5000,EGY,651,1881,429,15,0,0,7708,575,0.0048452,2011,TRUE,22779,262,8275,138269,0.018833136,0.057251908,0,0
46216,65,Conquest of Egypt,1,651,Egypt,2,,,7,11,1882,9,15,1882,0,6,2,10000,EGY,651,1882,104,15,0,0,5669,577,0.0040787,2011,TRUE,24132,262,8725,139087,0.00430963,0.057251908,0,0
46332,148,Arab-Israeli,1,651,Egypt,2,,,5,15,1948,1,7,1949,0,6,2,2000,EGY,651,1948,35576,64,0,2989,19529,3807,0.0053934,2011,TRUE,121931,199,0,3249,0.291771576,0.32160804,0,0.919975377
46444,155,Sinai War,1,651,Egypt,2,,,10,29,1956,11,6,1956,0,6,2,3000,EGY,651,1956,238369,93,6,3845,23532,5314,0.0052115,2011,TRUE,8471794,1785,34406,347837,0.02813678,0.05210084,0.000174388,0.011054028
